County,2013,2014,2015,2016,2017,2018,2019,2020
BARINGO,35852,42040,47684,51259,59403,61894,71544,76636
BOMET,64268,67305,85548,100542,120512,133969,137691,152744
BUNGOMA,99597,118448,126232,137028,163810,177336,193711,206705
BUSIA,40108,46062,51610,57251,64007,71210,83280,90817
ELGEYO MARAKWET,36579,45062,46129,57669,70844,88863,104844,117047
EMBU,81946,87820,94830,110119,119393,134488,138867,153927
GARISSA,27974,31185,35064,42043,44901,51491,54939,59910
HOMA BAY,61948,70995,76973,82914,95138,107041,115057,122198
ISIOLO,12909,13640,16623,17834,19441,22668,25117,26558
KAJIADO,75124,84306,93363,107862,113464,129862,143199,150413
KAKAMEGA,105821,119890,134493,153745,172060,186943,203904,214068
KERICHO,85265,90931,107483,113543,134951,145575,152420,164714
KIAMBU,288907,326154,379163,416982,457309,485980,532498,553312
KILIFI,108937,123451,140018,147927,162766,177795,199179,204172
KIRINYAGA,65691,72392,82852,91586,107410,109636,123676,130263
KISII,92408,106980,124285,140528,165092,171748,185041,199333
KISUMU,130396,144502,162500,173966,196956,218443,238564,249440
KITUI,60075,72847,82809,81962,93698,108868,127567,136380
KWALE,54196,63269,69230,76614,90621,100084,108658,119666
LAIKIPIA,41503,47212,57265,67338,72070,80913,88501,94810
LAMU,15858,17692,20555,21762,25262,29032,32338,32857
MACHAKOS,187900,207763,233910,241041,255999,281256,297350,313559
MAKUENI,53770,61198,70965,76949,84440,97112,109383,111071
MANDERA,25568,27144,31990,34585,37159,44123,51056,58925
MARSABIT,25515,27189,33502,36260,36770,43207,56711,61434
MERU,147102,171460,199076,219479,245618,266532,316093,345319
MIGORI,61138,71001,75724,77859,96610,104271,114770,121106
MOMBASA,268326,296857,329262,360583,401393,435527,469584,467395
MURANGA,98712,111428,128486,141455,155172,166679,180780,200682
NAIROBI,1328511,1508534,1733377,1913903,2136097,2362505,2586926,2669829
NAKURU,221472,276385,321433,365966,381200,411565,461636,480539
NANDI,77281,82247,97175,107066,123863,137891,140534,150753
NAROK,77146,83271,97661,110535,132231,144118,156813,166662
NYAMIRA,51086,54626,65889,75371,87429,100846,108286,118792
NYANDARUA,49785,63090,83756,94845,116560,118231,140734,150062
NYERI,97658,112940,132022,146215,160013,170042,193645,210393
SAMBURU,13325,14199,18241,20885,21670,24177,28158,29211
SIAYA,47453,55842,64904,66795,78069,88306,99092,106259
TAITA TAVETA,30583,36029,40677,44757,49589,54640,60879,63564
TANA RIVER,15525,15557,21051,20381,21095,23567,27627,29866
THARAKA NITHI,28567,32011,36589,40663,46834,52405,56281,61957
TRANS NZOIA,75679,87050,97577,104333,121646,144331,151566,165121
TURKANA,49299,54544,66403,69000,75379,90657,102987,109101
UASIN GISHU,120604,135456,149902,165347,188441,204757,224099,228846
VIHIGA,37657,42181,47227,54045,59954,68644,78080,85407
WAJIR,24585,24940,33043,35897,39367,42654,47473,49816
WEST POKOT,31709,37854,44695,51967,52618,59617,68726,80546
,,,,,,,,
TOTAL,4831318,5482979,6289246,6926656,7754324,8531499,9389864,9892185
